tweet_type,userid,screen_name,date,hashtag,qtd_hashtag,rt_hashtag
reply,1155892274556882944,angry_here,Sat Aug 01 04:26:31 +0000 2020,hackqanon,"",""
reply,249711100,DonEscaton,Sat Aug 01 04:26:47 +0000 2020,qanon,"",""
reply,1155892274556882944,angry_here,Sat Aug 01 04:27:19 +0000 2020,hackqanon,"",""
quoted_tweet,4860357914,X14Eagle,Sat Aug 01 04:27:20 +0000 2020,wwg1gwa digitalwarriors qanons savethechildren,savethechildren,""
retweeted_tweet_without_comment,1187604096817287168,Parents_IN_USA,Sat Aug 01 04:27:45 +0000 2020,votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020,"",votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020 trump2020
reply,1155892274556882944,angry_here,Sat Aug 01 04:28:30 +0000 2020,hackqanon,"",""
quoted_tweet,1281035000851296256,mac_patriot,Sat Aug 01 04:28:31 +0000 2020,qanons,wakeupamerica trump2020,""
reply,1155892274556882944,angry_here,Sat Aug 01 04:29:13 +0000 2020,hackqanon,"",""
reply,1155892274556882944,angry_here,Sat Aug 01 04:31:31 +0000 2020,hackqanon,"",""
reply,1129784586,67dfm,Sat Aug 01 04:31:58 +0000 2020,theswamp qanons qarmy,"",""
reply,335331563,qisrea,Sat Aug 01 04:32:00 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
original,1150264472419872768,OpBJAB,Sat Aug 01 04:32:32 +0000 2020,qanons qanonsworldwide,"",""
retweeted_tweet_without_comment,874856072,MaRaeBates,Sat Aug 01 04:32:37 +0000 2020,jesus bible scripture kag2020 wwg1wga qanon,"",jesus bible scripture kag2020 wwg1wga qanon
retweeted_tweet_without_comment,874856072,MaRaeBates,Sat Aug 01 04:32:47 +0000 2020,jesus bible scripture kag2020 wwg1wga qanon,"",jesus bible scripture kag2020 wwg1wga qanon
reply,335331563,qisrea,Sat Aug 01 04:32:49 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:33:05 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:33:23 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
original,2818274423,KenburrowsKen,Sat Aug 01 04:34:17 +0000 2020,wethepeople soros blm blacklivesmatter defundthepolice domesticterrorism american demonrats china qanon,"",""
reply,107924813,Sanderstwits,Sat Aug 01 04:34:59 +0000 2020,trump2020 trump gop qanon wwg1wwga foxnews,"",""
reply,1155892274556882944,angry_here,Sat Aug 01 04:35:48 +0000 2020,hackqanon,"",""
retweeted_tweet_without_comment,1251480981929963520,Basta68290765,Sat Aug 01 04:36:00 +0000 2020,qanon qanonworldwide qanon2020 wwg1wwga parler,"",qanon qanonworldwide qanon2020 wwg1wwga parler
reply,1259225768267321344,DanaEiranon,Sat Aug 01 04:40:40 +0000 2020,qanon wwg1wga,"",""
retweeted_tweet_without_comment,1267345439172501504,SonCharlemagne,Sat Aug 01 04:41:18 +0000 2020,fookmasks quan qanon wwg1wga wwgowga,"",fookmasks quan qanon wwg1wga wwgowga
quoted_tweet,1179658082567249920,X16Son,Sat Aug 01 04:41:47 +0000 2020,somuchdoh qanon chyna,"",""
quoted_tweet,386028702,ImDeplorable16,Sat Aug 01 04:42:07 +0000 2020,somuchdoh qanon chyna,"",""
retweeted_tweet_without_comment,1267345439172501504,SonCharlemagne,Sat Aug 01 04:42:33 +0000 2020,qanon quan,"",qanon quan wwg1wga wwgowga
reply,2847872826,ForcedAdoption1,Sat Aug 01 04:42:36 +0000 2020,wwg1wgaworldwide qanonworldwide maga kag2020 digitalsokdiers,"",""
reply,1259225768267321344,DanaEiranon,Sat Aug 01 04:42:56 +0000 2020,qanon,"",""
reply,892044709983641600,KareninCarolin1,Sat Aug 01 04:43:49 +0000 2020,godwins godblesspresidenttrump godblesstheusa maga trump2020 qanons qanon biden democratsfortrump democrats dnc portlandriots portland potus,"",""
