screen_name,tweet_type,date,tweetid,rt_hashtag,hashtag,userid
angry_here,reply,Sat Aug 01 04:25:46 +0000 2020,1289417010925858816,"",hackqanon,1155892274556882944
muthuren3569,quoted_tweet,Sat Aug 01 04:26:01 +0000 2020,1289417075379691520,"",targetedindividuals テクノロジー犯罪 集団ストーカー thegreatawakeing justicelscoming darktolight wwg1wga q qanon,1164185837124218880
angry_here,reply,Sat Aug 01 04:26:31 +0000 2020,1289417201678598144,"",hackqanon,1155892274556882944
DonEscaton,reply,Sat Aug 01 04:26:47 +0000 2020,1289417269420802048,"",qanon,249711100
angry_here,reply,Sat Aug 01 04:27:19 +0000 2020,1289417403370074112,"",hackqanon,1155892274556882944
X14Eagle,quoted_tweet,Sat Aug 01 04:27:20 +0000 2020,1289417404435447808,"",wwg1gwa digitalwarriors qanons savethechildren,4860357914
Parents_IN_USA,retweeted_tweet_without_comment,Sat Aug 01 04:27:45 +0000 2020,1289417510811443200,votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020 trump2020,votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020,1187604096817287168
angry_here,reply,Sat Aug 01 04:28:30 +0000 2020,1289417701551534080,"",hackqanon,1155892274556882944
mac_patriot,quoted_tweet,Sat Aug 01 04:28:31 +0000 2020,1289417705246740480,"",qanons,1281035000851296256
angry_here,reply,Sat Aug 01 04:29:13 +0000 2020,1289417881432674304,"",hackqanon,1155892274556882944
angry_here,reply,Sat Aug 01 04:31:31 +0000 2020,1289418456979214336,"",hackqanon,1155892274556882944
67dfm,reply,Sat Aug 01 04:31:58 +0000 2020,1289418573652221952,"",theswamp qanons qarmy,1129784586
qisrea,reply,Sat Aug 01 04:32:00 +0000 2020,1289418581667483648,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
OpBJAB,original,Sat Aug 01 04:32:32 +0000 2020,1289418716082364416,"",qanons qanonsworldwide,1150264472419872768
MaRaeBates,retweeted_tweet_without_comment,Sat Aug 01 04:32:37 +0000 2020,1289418733841080320,jesus bible scripture kag2020 wwg1wga qanon,jesus bible scripture kag2020 wwg1wga qanon,874856072
MaRaeBates,retweeted_tweet_without_comment,Sat Aug 01 04:32:47 +0000 2020,1289418779152261120,jesus bible scripture kag2020 wwg1wga qanon,jesus bible scripture kag2020 wwg1wga qanon,874856072
qisrea,reply,Sat Aug 01 04:32:49 +0000 2020,1289418787557498880,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:33:05 +0000 2020,1289418855178092544,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:33:23 +0000 2020,1289418930474246144,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
KenburrowsKen,original,Sat Aug 01 04:34:17 +0000 2020,1289419155158913024,"",wethepeople soros blm blacklivesmatter defundthepolice domesticterrorism american demonrats china qanon,2818274423
Sanderstwits,reply,Sat Aug 01 04:34:59 +0000 2020,1289419330149666816,"",trump2020 trump gop qanon wwg1wwga foxnews,107924813
angry_here,reply,Sat Aug 01 04:35:48 +0000 2020,1289419538363068416,"",hackqanon,1155892274556882944
Basta68290765,retweeted_tweet_without_comment,Sat Aug 01 04:36:00 +0000 2020,1289419585519628288,qanon qanonworldwide qanon2020 wwg1wwga parler,qanon qanonworldwide qanon2020 wwg1wwga parler,1251480981929963520
DanaEiranon,reply,Sat Aug 01 04:40:40 +0000 2020,1289420759551672320,"",qanon wwg1wga,1259225768267321344
SonCharlemagne,retweeted_tweet_without_comment,Sat Aug 01 04:41:18 +0000 2020,1289420922558877696,fookmasks quan qanon wwg1wga wwgowga,fookmasks quan qanon wwg1wga wwgowga,1267345439172501504
X16Son,quoted_tweet,Sat Aug 01 04:41:47 +0000 2020,1289421043535212544,"",somuchdoh qanon chyna,1179658082567249920
ImDeplorable16,quoted_tweet,Sat Aug 01 04:42:07 +0000 2020,1289421126339145728,"",somuchdoh qanon chyna,386028702
SonCharlemagne,retweeted_tweet_without_comment,Sat Aug 01 04:42:33 +0000 2020,1289421234560614400,qanon quan wwg1wga wwgowga,qanon quan,1267345439172501504
ForcedAdoption1,reply,Sat Aug 01 04:42:36 +0000 2020,1289421247315447808,"",wwg1wgaworldwide qanonworldwide maga kag2020 digitalsokdiers,2847872826
DanaEiranon,reply,Sat Aug 01 04:42:56 +0000 2020,1289421333802098688,"",qanon,1259225768267321344
KareninCarolin1,reply,Sat Aug 01 04:43:49 +0000 2020,1289421555039051776,"",godwins godblesspresidenttrump godblesstheusa maga trump2020 qanons qanon biden democratsfortrump democrats dnc portlandriots portland potus,892044709983641600
ProvingFuture,original,Sat Aug 01 04:44:21 +0000 2020,1289421689214779392,"",qanon humanbehaviour thegreatawakening,1196655068633632768
DavidaCamorani,original,Sat Aug 01 04:45:10 +0000 2020,1289421894056202240,"",qanon wwg1wgaworldwide,990276388144996352
LOSTMom815,quoted_tweet,Sat Aug 01 04:45:18 +0000 2020,1289421927598063616,"",osha fauci qanons wearethenewsnow thegreatawakening,19535935
CVivani,retweeted_tweet_without_comment,Sat Aug 01 04:45:51 +0000 2020,1.289422065163e+18,qanon wwg1wgaworldwide,qanon wwg1wgaworldwide,711151994
rightonQ17,quoted_tweet,Sat Aug 01 04:46:02 +0000 2020,1289422110952218624,"",qanon wwg1wga,579489710
antiamnesty,quoted_tweet,Sat Aug 01 04:50:00 +0000 2020,1289423111029325824,"",somuchdoh qanon chyna,1351283654
Sanderstwits,reply,Sat Aug 01 04:50:56 +0000 2020,1289423347202195456,"",wwgiwga wwg1wgaworldwide qanon,107924813
Sanderstwits,reply,Sat Aug 01 04:53:26 +0000 2020,1289423974208876544,"",usa wwgiwga qanon blm,107924813
tooranomaki6910,retweeted_tweet_without_comment,Sat Aug 01 04:53:41 +0000 2020,1289424036506636288,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,1008176372622110720
ForcedAdoption1,reply,Sat Aug 01 04:53:53 +0000 2020,1289424088503443456,"",wwg1wgaworldwide qanonworldwide saveourchildren childlivesmatter childtraffickingexposed pedogateisreal,2847872826
proadstudio,original,Sat Aug 01 04:54:25 +0000 2020,1289424221869764608,"",gop tiktok qanon youthvote parler china,28623510
TonarinoC,quoted_tweet,Sat Aug 01 04:55:15 +0000 2020,1289424430448271360,"",qanon,1252979184583892992
ProvingFuture,original,Sat Aug 01 04:55:36 +0000 2020,1289424519505928192,"",qanon humanbehaviour thegreatawakening,1196655068633632768
therealmobstar,retweeted_tweet_without_comment,Sat Aug 01 04:56:51 +0000 2020,1289424836339671040,qanons qanonsworldwide,qanons,25906859
Michelle4God,retweeted_tweet_without_comment,Sat Aug 01 04:57:18 +0000 2020,1289424949455794176,qanon wwg1wgaworldwide,qanon wwg1wgaworldwide,1270568889315930112
micropush,reply,Sat Aug 01 04:57:45 +0000 2020,1289425058914381824,"",qanons maga covidiots covid19,1080221077274451968
therealmobstar,retweeted_tweet_without_comment,Sat Aug 01 04:58:07 +0000 2020,1289425152640348160,qanons,qanons,25906859
Sanderstwits,reply,Sat Aug 01 04:58:13 +0000 2020,1289425177240117248,"",maga qanon wwgiwga trump,107924813
dmfact,quoted_tweet,Sat Aug 01 03:01:13 +0000 2020,1289395734681251840,"",qanon,242056447
Smokeymtnwoman1,quoted_tweet,Sat Aug 01 03:01:25 +0000 2020,1289395783783944192,"",trump2020landslidevictory themoreyouknow qanons donaldjtrump backtheblue,1207435100947963904
Johnkim05416420,retweeted_tweet_without_comment,Sat Aug 01 03:01:51 +0000 2020,1289395892286451712,draintheswamp qanon,draintheswamp qanon,1055668671580794880
